Target Name,Target Pos X,Target Pos Y,Target Heading,Target Velocity,Power,Distance,Hit
sample.Crazy,776.2595864796072,246.48919958760553,17.8862304749684,-5.0,2.0,479.02903022871243,0
sample.Walls,276.64260322955437,581.6641407207978,90.0,8.0,2.0,303.18711152510065,0
sample.Crazy,666.458924448479,144.48212773516445,118.38623047496837,8.0,1.4000000000000057,422.27213327945304,0
sample.Corners,208.03793026134306,461.2030933444339,270.0,8.0,2.0,437.51023770819455,0
sample.Crazy,232.10419324115836,27.143547433804315,142.4586852499476,8.0,3.0,129.38139845865098,1
sample.Crazy,141.23791362454475,132.40937369077923,146.45868524994745,8.0,3.0,88.83447614756476,0
sample.Corners,27.247074284533824,209.78392388889466,180.0,8.0,3.0,188.93395367659,0
sample.SittingDuck,605.8026868053879,511.6367971080249,87.11062972308133,0.0,2.0,582.3533716400319,1
sample.Corners,22.231620252805442,66.36764081499021,180.0,0.0,2.0,278.5381422646595,0
sample.Walls,777.005620529723,-11.195243015059418,180.0,0.0,2.0,405.12075078984356,1
sample.SittingDuck,604.2154862255256,522.8428308545047,87.11062972308133,0.0,2.0,476.2334956319569,1
sample.Corners,10.002068230166742,39.42517525905103,180.0,0.0,2.0,308.7411567161555,1
sample.Crazy,345.4036405010772,487.95898389399514,334.4586852499476,8.0,2.0,325.3805960133457,0
sample.Fire,606.738450199171,107.56696852305791,203.1072478289717,0.0,2.0,265.318078423684,1
sample.Corners,6.864919879369779,36.354022658827425,180.0,0.0,2.0,284.9654373256243,0
sample.Crazy,40.80970427049783,423.71725873779013,180.45868524994765,8.0,2.0,328.4882933747772,1
sample.Walls,769.5498866356645,-15.19217255902015,180.0,0.0,2.0,491.03127988524363,1
sample.Fire,570.1298854156174,38.81127782559554,18.031725190880415,0.0,2.0,350.76782113743184,1
sample.Crazy,170.36562458551032,41.59648873214675,138.45868524994754,8.0,2.0,225.8909937783204,0
sample.Fire,578.7370057545546,-5.071963772681556,162.03919811500714,0.0,2.0,411.05302582384746,1
sample.Walls,470.1081545377708,513.3451368689392,0.0,8.0,2.0,271.4928628522496,1
sample.Walls,784.3922068795894,364.70697063262696,180.0,8.0,2.0,522.1453924078734,0
sample.Walls,432.4743897196787,350.9953102762432,270.0,8.0,3.0,188.14107191602267,1
sample.Walls,138.67382967549233,370.4809279118415,270.0,8.0,3.0,76.01364528075477,0
sample.Walls,314.38498408382543,365.0770767880256,270.0,8.0,3.0,69.43196863259782,0
sample.Crazy,677.8272931490153,303.03961148118685,209.9586852499479,-4.0,2.0,395.36438676309353,0
sample.Walls,503.4753046886313,566.5823181619421,90.0,8.0,2.0,237.16722980028615,0
sample.Crazy,618.6357680901899,75.04828418803766,114.45868524994782,8.0,2.0,524.2422628106178,0
sample.Crazy,686.7800536542629,241.18978677409115,324.45868524994785,8.0,2.0,636.5239285998308,0
sample.Walls,523.574734824166,-11.854804595528435,270.0,8.0,2.0,521.3804461317544,0
sample.Walls,63.553705448639334,378.01456719164497,0.0,8.0,2.0,262.33333433544385,0
sample.Walls,279.5175316086526,582.6467074084673,90.0,8.0,2.0,463.8507172582492,0
sample.Walls,812.2998065055071,527.7489441638754,180.0,7.0,2.0,559.4261082400379,0
sample.Walls,436.8936100149425,51.07411381458669,270.0,8.0,3.0,190.46623039157532,0
sample.Walls,4.094367108378833,76.14879523783324,0.0,4.0,1.0,702.4962767002438,0
sample.Walls,47.344615756464236,627.4840312167607,90.0,5.0,2.0,670.457129806661,0
sample.Crazy,324.04653692095536,241.7659155307212,81.2823071822456,8.0,3.0,46.14107833534949,1
sample.Fire,60.71961394017018,229.67614451180248,271.29342160258017,0.0,2.0,334.206076994721,1
sample.Crazy,428.1165652602142,337.52370056781325,17.282307182245738,8.0,3.0,70.55941135077005,0
sample.Fire,72.80481218224898,276.37672239684224,3.2966691387714286,0.0,2.0,288.22242333939636,1
sample.SittingDuck,333.47183602594384,539.8926434090625,81.04921584945114,0.0,2.0,358.96105022625153,0
sample.Walls,795.6915741753808,333.88835021360217,180.0,8.0,2.0,424.90973249347917,0
