Target Name,Target Pos X,Target Pos Y,Target Velocity,Power,Distance,Hit
sample.Fire,694.6048160574669,62.403661030650994,0.0,2.0,400.39423710847046,1
sample.Corners,40.66594678535628,601.1602477827853,0.0,2.0,408.65035704501,1
sample.Walls,507.37369516732576,428.5108577740845,8.0,2.0,253.20419571320397,0
sample.Corners,41.9321335326089,597.6800990311463,0.0,2.0,395.6419599849291,0
sample.Fire,681.2008780304407,95.16020379856351,0.0,2.0,426.6192680291955,0
sample.Corners,36.76311711824468,596.9807272467531,0.0,2.0,326.3689809315802,1
sample.Fire,756.1085677417976,135.525809086557,0.0,1.0,522.3778574336158,1
sample.Walls,54.71476687195022,30.271640044945485,8.0,2.0,307.7621887224108,0
sample.Corners,37.47840184045293,600.1554171582152,0.0,2.0,364.9307815711749,1
sample.Fire,776.4170447167307,171.21069834297936,0.0,2.0,486.9422808730791,1
sample.Walls,0.14575827634024563,36.003704496630945,0.0,2.0,344.7933425993717,1
sample.Corners,39.21079783414828,600.2533483187221,0.0,2.0,386.5508413961174,1
sample.Crazy,372.28773191499454,438.39379374216855,8.0,3.0,162.96257690240523,0
sample.Walls,21.39739032671787,324.57099221169,8.0,3.0,191.09716181897255,0
sample.Crazy,466.88145060583236,283.3267508574693,8.0,2.0,212.96901754306393,0
sample.Walls,534.4219599938571,558.6216399217981,8.0,2.0,472.0514641791968,0
sample.Walls,610.5506342523865,551.4297303365381,0.0,1.0,545.2443158793459,1
sample.Fire,778.4669223457241,143.1084321764079,0.0,1.0,614.3616976294859,0
sample.Fire,778.3080570418758,142.79800382182765,0.0,1.0,624.2460228779554,1
sample.Fire,764.5157363183556,94.37943021951574,0.0,1.0,621.3674830059516,1
sample.Fire,776.8663226788005,126.13867007385397,0.0,1.0,631.9068936002648,1
sample.Fire,760.5588715020884,78.50828673777193,0.0,1.0,627.7646362523909,1
sample.SittingDuck,186.55103220370978,531.7597356991238,0.0,2.0,312.3560948971137,1
sample.Crazy,343.6433932984835,375.1199918283827,-8.0,2.0,213.4754094087861,1
sample.Walls,422.6101381137528,-9.387471349918826,8.0,2.0,349.78296263114885,0
sample.SittingDuck,216.13041174095613,509.3075149567982,0.0,2.0,412.62213694362583,1
sample.Walls,34.985278130201564,356.91169139910625,8.0,2.0,304.1833313963069,0
sample.Fire,466.98460596742063,323.85295142846064,0.0,2.0,336.3665457928447,1
sample.Crazy,311.5918017628491,267.90474886246926,8.0,3.0,162.44487718342373,1
sample.Walls,52.14297625052339,605.1537628329729,0.0,1.0,573.696258757081,1
sample.Walls,60.256489140057965,621.0607215634728,0.0,1.0,686.0254125819177,1
sample.Corners,818.1360360802505,563.1213396355041,0.0,1.0,572.9854807212404,0
sample.Corners,838.5081791385865,561.5305704292215,0.0,1.0,513.0202197224446,0
sample.Walls,78.09842394348993,647.7087937271025,0.0,1.0,812.6203745506641,1
sample.Fire,367.87022368471906,342.7894972546925,-8.0,2.0,348.37440815206753,1
sample.Crazy,807.898380447401,537.0849427267402,-3.0,2.0,400.53658241831965,1
sample.Fire,333.7538569624596,291.62479166331997,0.0,2.0,345.25345806502963,1
sample.Walls,803.5520655261581,576.6981451940954,0.0,2.0,297.4312339266187,0
